sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
MEMCAP860Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 60MM (BOX 100),Catalog, Search,1,2.5,no,memcap860z,1000
MEMHTB1260Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 60MM (BOX 50),Catalog, Search,1,2.5,no,memhtb1260z,1000
MEMCAP2470,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 70MM (BOX 10),Catalog, Search,1,2.5,no,memcap2470,1000
MEMHTB1280Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 80MM (BOX 50),Catalog, Search,1,2.5,no,memhtb1280z,1000
MEMHTB1450Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M14 X 50MM (BOX 50),Catalog, Search,1,2.5,no,memhtb1450z,1000
MEMHTB16120Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 120MM (BOX 25),Catalog, Search,1,2.5,no,memhtb16120z,1000
MEMHTB16160Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 160MM (BOX 20),Catalog, Search,1,2.5,no,memhtb16160z,1000
MEMHTB16190Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 190MM (BOX 10),Catalog, Search,1,2.5,no,memhtb16190z,1000
MEMHTB1665Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 65MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1665z,1000
MEMHTB20100Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 100MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20100z,1000
MEMHTB20150Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 150MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20150z,1000
MEMHTB20220Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 220MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20220z,1000
MEMHTB24150Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M24 X 150MM (BOX 10),Catalog, Search,1,2.5,no,memhtb24150z,1000
MEMHTB2480Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M24 X 80MM (BOX 10),Catalog, Search,1,2.5,no,memhtb2480z,1000
MEMHTB30130Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M30 X 130MM (BOX 5),Catalog, Search,1,2.5,no,memhtb30130z,1000
