sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
MEMCAP1045Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 45MM (BOX 100),"Catalog, Search",1
MEMCAP1065Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 65MM (BOX 100),"Catalog, Search",1
MEMCAP1225,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 25MM (BOX 100),"Catalog, Search",1
MEMCAP1235Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 35MM (BOX 100),"Catalog, Search",1
MEMCAP1250Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 50MM (BOX 50),"Catalog, Search",1
MEMCAP1270,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 70MM (BOX 50),"Catalog, Search",1
MEMCAP1290,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 90MM (BOX 50),"Catalog, Search",1
MEMCAP16120,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M16 X 120MM (BOX 25),"Catalog, Search",1
MEMCAP1645Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 45MM (BOX 25),"Catalog, Search",1
MEMCAP1660Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 60MM (BOX 25),"Catalog, Search",1
MEMCAP1675,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M16 X 75MM (BOX 25),"Catalog, Search",1
MEMCAP20100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 100MM (BOX 25),"Catalog, Search",1
