sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"RSLQDWSSW750",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN SMOKED WALNUT 750ML","QUICK DRYING WOODSTAIN SATIN SMOKED WALNUT 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWST250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN TEAK 250ML","QUICK DRYING WOODSTAIN SATIN TEAK 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWST25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN TEAK 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN TEAK 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWST750",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN TEAK 750ML","QUICK DRYING WOODSTAIN SATIN TEAK 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSW250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN WALNUT 250ML","QUICK DRYING WOODSTAIN SATIN WALNUT 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSW25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN WALNUT 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN WALNUT 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://franciskirk.shop/var/import/images/RSLQDWSW25L.jpg
"RSLQDWSW750",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN WALNUT 750ML","QUICK DRYING WOODSTAIN SATIN WALNUT 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLSFAB5L",TOOLBANK,"SHED & FENCE PRESERVER AUTUMN BROWN 5 LITRE","SHED & FENCE PRESERVER AUTUMN BROWN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/SHED & FENCE TREATMENT",1,53.9,53.9,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLSFLB5L.jpg
"RSLSFB5L",TOOLBANK,"SHED & FENCE PRESERVER BLACK 5 LITRE","SHED & FENCE PRESERVER BLACK 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/SHED & FENCE TREATMENT",1,53.9,53.9,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLSFLB5L.jpg
"RSLSFDB5L",TOOLBANK,"SHED & FENCE PRESERVER DARK BROWN 5 LITRE","SHED & FENCE PRESERVER DARK BROWN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/SHED & FENCE TREATMENT",1,53.9,53.9,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLSFLB5L.jpg
"RSLSFG5L",TOOLBANK,"SHED & FENCE PRESERVER GREEN 5 LITRE","SHED & FENCE PRESERVER GREEN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/SHED & FENCE TREATMENT",1,53.9,53.9,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLSFLB5L.jpg
"RSLSFLB5L",TOOLBANK,"SHED & FENCE PRESERVER LIGHT BROWN 5 LITRE","SHED & FENCE PRESERVER LIGHT BROWN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/SHED & FENCE TREATMENT",1,53.9,53.9,1,https://franciskirk.shop/var/import/images/RSLSFLB5L.jpg
