Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
PRM253547,PRM253547,TOOLBANK,253547 US POWERJET BLOWTORCH ONLY - FITS 1IN UNEF THREAD,253547 US POWERJET BLOWTORCH ONLY - FITS 1IN UNEF THREAD,,,,,,TOOLS,HAND TOOLS,PLUMBING TOOLS,GAS BURNERS & ACCESSORIES,1,59.06,147.65,1,1,SIEVERT,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/PRM253511.jpg",,,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
PRM253547,PRM253547,TOOLBANK,253547 US POWERJET BLOWTORCH ONLY - FITS 1IN UNEF THREAD,253547 US POWERJET BLOWTORCH ONLY - FITS 1IN UNEF THREAD,,,,,,TOOLS,HAND TOOLS,PLUMBING TOOLS,GAS BURNERS & ACCESSORIES,1,59.06,147.65,1,1,SIEVERT,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/PRM253511.jpg",,,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
MON1378,MON1378,TOOLBANK,1378Z DRAIN TESTING PLUG 100MM (4IN),1378Z DRAIN TESTING PLUG 100MM (4IN),,,,,,TOOLS,HAND TOOLS,PLUMBING TOOLS,"GAS, PIPE & DRAIN INSTALLATION",1,5.25,13.13,1,1,MONUMENT,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/MON1377.jpg",,,,
MON1379,MON1379,TOOLBANK,1379C DRAIN TESTING PLUG 150MM (6IN),1379C DRAIN TESTING PLUG 150MM (6IN),,,,,,TOOLS,HAND TOOLS,PLUMBING TOOLS,"GAS, PIPE & DRAIN INSTALLATION",1,7.43,18.58,1,1,MONUMENT,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/MON1377.jpg",,,,
MON258,MON258,TOOLBANK,258F GAS TEST GAUGE 60MB 600MM (24IN),258F GAS TEST GAUGE 60MB 600MM (24IN),,,,,,TOOLS,HAND TOOLS,PLUMBING TOOLS,"GAS, PIPE & DRAIN INSTALLATION",1,20.71,51.78,1,1,MONUMENT,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/MON259.jpg",,,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
FCMMODCG,FCMMODCG,TOOLBANK,DRIFT  NAIL & CENTRE PUNCHES MODULE  11 PIECE,DRIFT  NAIL & CENTRE PUNCHES MODULE  11 PIECE,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,79.72,199.3,1,1,FACOM,,,,"https://toolmedia-res.cloudinary.com/image/upload//c_scale,f_auto,q_auto,w_640/toolbank/products/FCMMODCG.jpg",,,,
QMA48M,QMA48M,TOOLBANK,SHEET METAL PUNCH 48MM,SHEET METAL PUNCH 48MM,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,14.8,37,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMA25M.jpg",,,,
