sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter,,
FN12F,,,,,,,,,,,,,,,,,,,,,12.05,0.12,,,,,
FN916F,,,,,,,,,,,,,,,,,,,,,19.5,0.2,,,,,
FN34F,,,,,,,,,,,,,,,,,,,,,48.85,0.49,,,,,
FN78F,,,,,,,,,,,,,,,,,,,,,60,0.6,,,,,
FN114F,,,,,,,,,,,,,,,,,,,,,140,1.4,,,,,
FN112F,,,,,,,,,,,,,,,,,,,,,498.75,4.99,,,,,
FN2F,,,,,,,,,,,,,,,,,,,,,837.75,8.38,,,,,
FN214F,,,,,,,,,,,,,,,,,,,,,1216.5,12.17,,,,,
FN212F,,,,,,,,,,,,,,,,,,,,,1650,16.5,,,,,
FN14CZ,,,,,,,,,,,,,,,,,,,,,2.53,0.03,,,,,
FN516CZ,,,,,,,,,,,,,,,,,,,,,3,0.03,,,,,
FN38CZ,,,,,,,,,,,,,,,,,,,,,4.5,0.05,,,,,
FN716CZ,,,,,,,,,,,,,,,,,,,,,9.45,0.09,,,,,
FN916CZ,,,,,,,,,,,,,,,,,,,,,16.5,0.17,,,,,
FN58CZ,,,,,,,,,,,,,,,,,,,,,26.25,0.26,,,,,
FN34CZ,,,,,,,,,,,,,,,,,,,,,38.4,0.38,,,,,
FN78CZ,,,,,,,,,,,,,,,,,,,,,69.58,0.7,,,,,
FN1CZ,,,,,,,,,,,,,,,,,,,,,91.98,0.92,,,,,
FN118CZ,,,,,,,,,,,,,,,,,,,,,163.68,1.64,,,,,
FN114CZ,,,,,,,,,,,,,,,,,,,,,280.45,2.8,,,,,
FN112CZ,,,,,,,,,,,,,,,,,,,,,352.5,3.53,,,,,
FN134CZ,,,,,,,,,,,,,,,,,,,,,623.25,6.23,,,,,
FN14FZ,,,,,,,,,,,,,,,,,,,,,3.65,0.04,,,,,
FN516FZ,,,,,,,,,,,,,,,,,,,,,3.75,0.04,,,,,
FN38FZ,,,,,,,,,,,,,,,,,,,,,5.3,0.05,,,,,
FN716FZ,,,,,,,,,,,,,,,,,,,,,8.25,0.08,,,,,
FN12FZ,,,,,,,,,,,,,,,,,,,,,12,0.12,,,,,
FN916FZ,,,,,,,,,,,,,,,,,,,,,21.75,0.22,,,,,
FN58FZ,,,,,,,,,,,,,,,,,,,,,25.5,0.26,,,,,
FN34FZ,,,,,,,,,,,,,,,,,,,,,59.85,0.6,,,,,
FN78FZ,,,,,,,,,,,,,,,,,,,,,66.25,0.66,,,,,
FN114FZ,,,,,,,,,,,,,,,,,,,,,299.63,3,,,,,
FN138FZ,,,,,,,,,,,,,,,,,,,,,322.5,3.23,,,,,
FN14CZY,,,,,,,,,,,,,,,,,,,,,1.5,0.02,,,,,
FN516CZY,,,,,,,,,,,,,,,,,,,,,2.25,0.02,,,,,
FN38CZY,,,,,,,,,,,,,,,,,,,,,4.5,0.05,,,,,
FN716CZY,,,,,,,,,,,,,,,,,,,,,9,0.09,,,,,
FN12CZY,,,,,,,,,,,,,,,,,,,,,6.75,0.07,,,,,
FN58CZY,,,,,,,,,,,,,,,,,,,,,13.5,0.14,,,,,
FN34CZY,,,,,,,,,,,,,,,,,,,,,25.5,0.26,,,,,
FN516FZY,,,,,,,,,,,,,,,,,,,,,3.45,0.03,,,,,
FN38FZY,,,,,,,,,,,,,,,,,,,,,6.5,0.07,,,,,
FN716FZY,,,,,,,,,,,,,,,,,,,,,6.75,0.07,,,,,
FN14CGAL,,,,,,,,,,,,,,,,,,,,,1.5,0.02,,,,,
FN516CGAL,,,,,,,,,,,,,,,,,,,,,2.25,0.02,,,,,
FN38CGAL,,,,,,,,,,,,,,,,,,,,,6,0.06,,,,,
FN716CGAL,,,,,,,,,,,,,,,,,,,,,2.95,0.03,,,,,
FN58CGAL,,,,,,,,,,,,,,,,,,,,,31.48,0.31,,,,,
FN34CGAL,,,,,,,,,,,,,,,,,,,,,24,0.24,,,,,
FN78CGAL,,,,,,,,,,,,,,,,,,,,,59.3,0.59,,,,,
FN1CGAL,,,,,,,,,,,,,,,,,,,,,140.18,1.4,,,,,
FN2CGAL,,,,,,,,,,,,,,,,,,,,,799.5,8,,,,,
FN12CZ,,,,,,,,,,,,,,,,,,,,,9.53,0.1,,,,,
FN1FZ,,,,,,,,,,,,,,,,,,,,,94.28,0.94,,,,,
FN114C,,,,,,,,,,,,,,,,,,,,,175.25,1.75,,,,,
NNP4CZ,,,,,,,,,,,,,,,,,,,,,1.43,0.01,,,,,
NNP5CZ,,,,,,,,,,,,,,,,,,,,,1.9,0.02,,,,,
NNP10CZ,,,,,,,,,,,,,,,,,,,,,1.9,0.02,,,,,
NNP10FZ,,,,,,,,,,,,,,,,,,,,,3.13,0.03,,,,,
NN4CZ,,,,,,,,,,,,,,,,,,,,,2.88,0.03,,,,,
NN5CZ,,,,,,,,,,,,,,,,,,,,,3.35,0.03,,,,,
NNP6CZ,,,,,,,,,,,,,,,,,,,,,1.43,0.01,,,,,
NNP8CZ,,,,,,,,,,,,,,,,,,,,,2.23,0.02,,,,,
NN10CZ,,,,,,,,,,,,,,,,,,,,,1.93,0.02,,,,,
NN10FZ,,,,,,,,,,,,,,,,,,,,,2.35,0.02,,,,,
NNP38FZ,,,,,,,,,,,,,,,,,,,,,6.53,0.07,,,,,
NNP716FZ,,,,,,,,,,,,,,,,,,,,,6.7,0.07,,,,,
NNP916FZ,,,,,,,,,,,,,,,,,,,,,19.05,0.19,,,,,
NNP58FZ,,,,,,,,,,,,,,,,,,,,,27.75,0.28,,,,,
NNP34FZ,,,,,,,,,,,,,,,,,,,,,41.85,0.42,,,,,
NNT1FZ,,,,,,,,,,,,,,,,,,,,,135.55,1.36,,,,,
NNT516CZ,,,,,,,,,,,,,,,,,,,,,3.78,0.04,,,,,
NNT38CZ,,,,,,,,,,,,,,,,,,,,,3.75,0.04,,,,,
NNT716CZ,,,,,,,,,,,,,,,,,,,,,2.1,0.02,,,,,
NNT916CZ,,,,,,,,,,,,,,,,,,,,,10.98,0.11,,,,,
NNP14FZ,,,,,,,,,,,,,,,,,,,,,3.08,0.03,,,,,
NNT516FZ,,,,,,,,,,,,,,,,,,,,,2.88,0.03,,,,,
NNT38FZ,,,,,,,,,,,,,,,,,,,,,5.58,0.06,,,,,
