sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FAIBRSTSTPL,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAICT1200,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT1200WHD,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT15046SS,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT150B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT150W,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT200B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT200W,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT250B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT250W,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT29046SS,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT300B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT300W,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT36079SS,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT400,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT600WHD,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT68079SS,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAICT900WHD,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/CABLE TIES",,,,,
FAIHC105B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC115B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC125B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1AB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1ASSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1AWSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1MB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1MSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1SSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1XB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1XSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC1XWSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC2AB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC2ASSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC2AWSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC2B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
